ICDO3.2	Level	Term	Code reference	obs	See also	See note	Includes	Excludes	Other text
9101/3	Synonym	Choriocarcinoma combined with embryonal carcinoma	NA	NA	NA	NA	NA	NA	NA
9101/3	Synonym	Choriocarcinoma combined with teratoma	NA	NA	NA	NA	NA	NA	NA
9102/3	Preferred	Malignant teratoma, trophoblastic	NA	NA	NA	NA	NA	NA	NA
9103/0	Preferred	Partial hydatidiform mole	(C58.9)	NA	NA	NA	NA	NA	NA
9104/1	Preferred	Placental site trophoblastic tumor	(C58.9)	NA	NA	NA	NA	NA	NA
9105/3	Preferred	Trophoblastic tumor, epithelioid	NA	NA	NA	NA	NA	NA	NA
911	2	Mesonephromas	NA	NA	NA	NA	NA	NA	NA
9110/0	Preferred	Adenoma of rete ovarii	(C56.9)	NA	NA	NA	NA	NA	NA
9110/0	Related	Mesonephroma, benign	NA	NA	NA	NA	NA	NA	NA
9110/0	Synonym	Mesonephric adenoma	NA	NA	NA	NA	NA	NA	NA
9110/0	Synonym	Wolffian duct adenoma	NA	NA	NA	NA	NA	NA	NA
9110/1	Preferred	Wolffian tumor	NA	NA	NA	NA	NA	NA	NA
9110/1	Synonym	Wolffian duct tumor	NA	NA	NA	NA	NA	NA	NA
9110/1	Synonym	Mesonephric tumor	NA	NA	NA	NA	NA	NA	NA
9110/3	Preferred	Mesonephroma, malignant	NA	NA	NA	NA	NA	NA	NA
9110/3	Synonym	Mesonephroma, NOS	NA	NA	NA	NA	NA	NA	NA
9110/3	Synonym	Mesonephric adenocarcinoma	NA	NA	NA	NA	NA	NA	NA
9110/3	Synonym	Wolffian duct carcinoma	NA	NA	NA	NA	NA	NA	NA
9110/3	Related	Adenocarcinoma of rete ovarii	(C56.9)	NA	NA	NA	NA	NA	NA
912-916	2	Blood vessel tumors	NA	NA	NA	NA	NA	NA	NA
9120/0	Preferred	Hemangioma, NOS	NA	NA	NA	NA	NA	NA	NA
9120/0	Synonym	Angioma, NOS	NA	NA	NA	NA	NA	NA	NA
9120/0	Synonym	Chorioangioma	(C58.9)	NA	NA	NA	NA	NA	NA
9120/0	Related	Cherry hemangioma	NA	NA	NA	NA	NA	NA	NA
9120/0	Related	Sinusoidal hemangioma	NA	NA	NA	NA	NA	NA	NA
9120/0	Related	Microvenular hemangioma	NA	NA	NA	NA	NA	NA	NA
9120/0	Related	Glomeruloid hemangioma	NA	NA	NA	NA	NA	NA	NA
9120/0	Related	Spindle cell hemangioma	NA	NA	NA	NA	NA	NA	NA
9120/0	Related	Hobnail hemangioma	NA	NA	NA	NA	NA	NA	NA
9120/3	Preferred	Hemangiosarcoma	NA	NA	NA	NA	NA	NA	NA
9120/3	Synonym	Angiosarcoma	NA	NA	NA	NA	NA	NA	NA
9121/0	Preferred	Cavernous hemangioma	NA	NA	NA	NA	NA	NA	NA
9122/0	Preferred	Venous hemangioma	NA	NA	NA	NA	NA	NA	NA
9123/0	Preferred	Racemose hemangioma	NA	NA	NA	NA	NA	NA	NA
9123/0	Synonym	Arteriovenous hemangioma	NA	NA	NA	NA	NA	NA	NA
9124/3	Preferred	Kupffer cell sarcoma	(C22.0)	NA	NA	NA	NA	NA	NA
9125/0	Preferred	Epithelioid hemangioma	NA	NA	NA	NA	NA	NA	NA
9125/0	Synonym	Histiocytoid hemangioma	NA	NA	NA	NA	NA	NA	NA
9125/0	Related	Cutaneous epithelioid angiomatoid nodule	(C44._)	NA	NA	NA	NA	NA	NA
9126/0	Preferred	Atypical vascular lesion	NA	NA	NA	NA	NA	NA	NA
9130/0	Preferred	Hemangioendothelioma, benign	NA	[obs]	NA	NA	NA	NA	NA
9130/1	Preferred	Hemangioendothelioma, NOS	NA	NA	NA	NA	NA	NA	NA
9130/1	Synonym	Angioendothelioma	NA	NA	NA	NA	NA	NA	NA
9130/1	Related	Kaposiform hemangioendothelioma	NA	NA	NA	NA	NA	NA	NA
9130/3	Preferred	Hemangioendothelioma, malignant	NA	NA	NA	NA	NA	NA	NA
9130/3	Synonym	Hemangioendothelial sarcoma	NA	NA	NA	NA	NA	NA	NA
9131/0	Preferred	Capillary hemangioma	NA	NA	NA	NA	NA	NA	NA
9131/0	Synonym	Hemangioma simplex	NA	NA	NA	NA	NA	NA	NA
9131/0	Synonym	Infantile hemangioma	NA	NA	NA	NA	NA	NA	NA
9131/0	Synonym	Juvenile hemangioma	NA	NA	NA	NA	NA	NA	NA
9131/0	Synonym	Plexiform hemangioma	NA	NA	NA	NA	NA	NA	NA
9131/0	Related	Lobular capillary hemangioma	NA	NA	NA	NA	NA	NA	NA
9131/0	Related	Congenital hemangioma, NOS	NA	NA	NA	NA	NA	NA	NA
9131/0	Related	Congenital hemangioma, rapidly involuting	NA	NA	NA	NA	NA	NA	NA
9131/0	Related	Congenital hemangioma, non-involuting	NA	NA	NA	NA	NA	NA	NA
9132/0	Preferred	Intramuscular hemangioma	NA	NA	NA	NA	NA	NA	NA
9132/0	Synonym	Intramuscular angioma	NA	NA	NA	NA	NA	NA	NA
9133/3	Preferred	Epithelioid hemangioendothelioma, NOS	NA	NA	NA	NA	NA	NA	NA
9133/3	Synonym	Epithelioid hemangioendothelioma, malignant	NA	NA	NA	NA	NA	NA	NA
9133/3	Related	Intravascular bronchial alveolar tumor	(C34._)	[obs]	NA	NA	NA	NA	NA
9135/1	Preferred	Papillary intralymphatic angioendothelioma	NA	NA	NA	NA	NA	NA	NA
9135/1	Synonym	Endovascular papillary angioendothelioma	NA	NA	NA	NA	NA	NA	NA
9135/1	Synonym	Dabska tumor	NA	NA	NA	NA	NA	NA	NA
9136/1	Preferred	Spindle cell hemangioendothelioma	NA	NA	NA	NA	NA	NA	NA
9136/1	Synonym	Spindle cell angioendothelioma	NA	[obs]	NA	NA	NA	NA	NA
9136/1	Related	Retiform hemangioendothelioma	NA	NA	NA	NA	NA	NA	NA
9136/1	Related	Composite hemangioendothelioma	NA	NA	NA	NA	NA	NA	NA
9137/0	Preferred	Myointimoma	NA	NA	NA	NA	NA	NA	NA
9137/3	Preferred	Intimal sarcoma	NA	NA	NA	NA	NA	NA	NA
9138/1	Preferred	Pseudomyogenic (epithelioid sarcoma-like) hemangioendothelioma	NA	NA	NA	NA	NA	NA	NA
9140/3	Preferred	Kaposi sarcoma	NA	NA	NA	NA	NA	NA	NA
9140/3	Synonym	Multiple hemorrhagic sarcoma	NA	NA	NA	NA	NA	NA	NA
9141/0	Preferred	Angiokeratoma	NA	NA	NA	NA	NA	NA	NA
9142/0	Preferred	Verrucous keratotic hemangioma	NA	NA	NA	NA	NA	NA	NA
9142/0	Synonym	Verrucous venous malformation	NA	NA	NA	NA	NA	NA	NA
9160/0	Preferred	Angiofibroma, NOS	NA	NA	NA	NA	NA	NA	NA
9160/0	Synonym	Fibrous papule of nose	(C44.3)	[obs]	NA	NA	NA	NA	NA
9160/0	Synonym	Involuting nevus	(C44._)	[obs]	NA	NA	NA	NA	NA
9160/0	Synonym	Juvenile angiofibroma	NA	NA	NA	NA	NA	NA	NA
9160/0	Related	Cellular angiofibroma	NA	NA	NA	NA	NA	NA	NA
9160/0	Related	Giant cell angiofibroma	NA	NA	NA	NA	NA	NA	NA
9161/0	Preferred	Acquired tufted hemangioma	NA	NA	NA	NA	NA	NA	NA
9161/0	Synonym	Tufted hemangioma	NA	NA	NA	NA	NA	NA	NA
9161/1	Preferred	Hemangioblastoma	NA	NA	NA	NA	NA	NA	NA
9161/1	Synonym	Angioblastoma	NA	NA	NA	NA	NA	NA	NA
917	2	Lymphatic vessel tumors	NA	NA	NA	NA	NA	NA	NA
9170/0	Preferred	Lymphangioma, NOS	NA	NA	NA	NA	NA	NA	NA
9170/0	Synonym	Lymphangioendothelioma, NOS	NA	NA	NA	NA	NA	NA	NA
9170/3	Preferred	Lymphangiosarcoma	NA	NA	NA	NA	NA	NA	NA
9170/3	Synonym	Lymphangioendothelial sarcoma	NA	NA	NA	NA	NA	NA	NA
9170/3	Synonym	Lymphangioendothelioma, malignant	NA	NA	NA	NA	NA	NA	NA
9171/0	Preferred	Capillary lymphangioma	NA	NA	NA	NA	NA	NA	NA
9172/0	Preferred	Cavernous lymphangioma	NA	NA	NA	NA	NA	NA	NA
9173/0	Preferred	Cystic lymphangioma	NA	NA	NA	NA	NA	NA	NA
9173/0	Synonym	Hygroma, NOS	NA	NA	NA	NA	NA	NA	NA
9173/0	Synonym	Cystic hygroma	NA	NA	NA	NA	NA	NA	NA
9174/0	Preferred	Lymphangiomyoma	NA	NA	NA	NA	NA	NA	NA
9174/1	Preferred	Lymphangioleiomyomatosis	NA	NA	NA	NA	NA	NA	NA
9174/1	Synonym	Lymphangiomyomatosis	NA	NA	NA	NA	NA	NA	NA
9175/0	Preferred	Hemolymphangioma	NA	NA	NA	NA	NA	NA	NA
918-924	2	Osseous and chondromatous neoplasms	NA	NA	NA	NA	NA	NA	NA
9180/0	Preferred	Osteoma, NOS	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9180/3	Preferred	Osteosarcoma, NOS	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9180/3	Synonym	Osteogenic sarcoma, NOS	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9180/3	Synonym	Osteoblastic sarcoma	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9180/3	Synonym	Osteochondrosarcoma	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9180/3	Related	Osteosarcoma, extraskeletal	NA	NA	NA	NA	NA	NA	NA
9181/3	Preferred	Chondroblastic osteosarcoma	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9182/3	Preferred	Fibroblastic osteosarcoma	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9182/3	Synonym	Osteofibrosarcoma	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9183/3	Preferred	Telangiectatic osteosarcoma	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9184/3	Preferred	Osteosarcoma in Paget disease of bone	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9184/3	Synonym	Secondary osteosarcoma	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9185/3	Preferred	Small cell osteosarcoma	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9185/3	Synonym	Round cell osteosarcoma	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9186/3	Preferred	Central osteosarcoma, NOS	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9186/3	Synonym	Conventional central osteosarcoma	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9186/3	Synonym	Medullary osteosarcoma	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9187/3	Preferred	Low grade central osteosarcoma	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9187/3	Synonym	Low grade intramedullary osteosarcoma	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9187/3	Related	Intraosseous well differentiated osteosarcoma	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9187/3	Synonym	Intraosseous low grade osteosarcoma	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9191/0	Preferred	Osteoid osteoma, NOS	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9192/3	Preferred	Parosteal osteosarcoma	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9192/3	Synonym	Juxtacortical osteosarcoma	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9193/3	Preferred	Periosteal osteosarcoma	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9194/3	Preferred	High grade surface osteosarcoma	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9195/3	Preferred	Intracortical osteosarcoma	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9200/0	Preferred	Osteoblastoma, NOS	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9200/0	Synonym	Giant osteoid osteoma	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9200/1	Preferred	Aggressive osteoblastoma	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9210/0	Preferred	Osteochondroma	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9210/0	Synonym	Cartilaginous exostosis	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9210/0	Synonym	Ecchondroma	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9210/0	Synonym	Osteocartilaginous exostosis	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9210/1	Preferred	Osteochondromatosis, NOS	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9210/1	Synonym	Ecchondrosis	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9211/0	Preferred	Osteochondromyxoma	NA	NA	NA	NA	NA	NA	NA
9212/0	Preferred	Bizarre parosteal osteochondromatous proliferation	NA	NA	NA	NA	NA	NA	NA
9213/0	Preferred	Subungual exostosis	NA	NA	NA	NA	NA	NA	NA
9220/0	Preferred	Chondroma, NOS	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9220/0	Related	Enchondroma	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9220/1	Preferred	Chondromatosis, NOS	NA	NA	NA	NA	NA	NA	NA
9220/3	Preferred	Chondrosarcoma, NOS	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9220/3	Related	Fibrochondrosarcoma	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9220/3	Related	Chondrosarcoma, grade 2	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9220/3	Related	Chondrosarcoma, grade 3	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9221/0	Preferred	Periosteal chondroma	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9221/0	Related	Juxtacortical chondroma	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9221/3	Preferred	Periosteal chondrosarcoma	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9221/3	Related	Juxtacortical chondrosarcoma	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9222/1	Preferred	Atypical cartilaginous tumor	NA	NA	NA	NA	NA	NA	NA
9222/1	Synonym	Chondrosarcoma, grade 1	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9230/1	Preferred	Chondroblastoma, NOS	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9230/1	Synonym	Chondromatous giant cell tumor	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9230/1	Synonym	Codman tumor	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9230/3	Preferred	Chondroblastoma, malignant	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9231/3	Preferred	Myxoid chondrosarcoma	NA	NA	NA	NA	NA	NA	NA
9240/3	Preferred	Mesenchymal chondrosarcoma	NA	NA	NA	NA	NA	NA	NA
9241/0	Preferred	Chondromyxoid fibroma	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9242/3	Preferred	Clear cell chondrosarcoma	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9243/3	Preferred	Dedifferentiated chondrosarcoma	(C40._, C41._)	NA	NA	NA	NA	NA	NA
925	2	Giant cell tumors	NA	NA	NA	NA	NA	NA	NA
9250/1	Preferred	Giant cell tumor of bone, NOS	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9250/1	Synonym	Osteoclastoma, NOS	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9250/3	Preferred	Giant cell tumor of bone, malignant	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9250/3	Synonym	Giant cell sarcoma of bone	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9250/3	Synonym	Osteoclastoma, malignant	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9251/1	Preferred	Giant cell tumor of soft parts, NOS	NA	NA	NA	NA	NA	NA	NA
9251/3	Preferred	Malignant giant cell tumor of soft parts	NA	NA	NA	NA	NA	NA	NA
9252/0	Preferred	Tenosynovial giant cell tumor, NOS	(C49._)	NA	NA	NA	NA	NA	NA
9252/0	Related	Tenosynovial giant cell tumor, localised	(C49._)	NA	NA	NA	NA	NA	NA
9252/0	Synonym	Fibrous histiocytoma of tendon sheath	(C49._)	NA	NA	NA	NA	NA	NA
9252/0	Synonym	Giant cell tumor of tendon sheath, NOS	(C49._)	NA	NA	NA	NA	NA	NA
9252/1	Preferred	Tenosynovial giant cell tumor, diffuse	(C49._)	NA	NA	NA	NA	NA	NA
9252/1	Synonym	Pigmented villonodular synovitis	NA	NA	NA	NA	NA	NA	NA
9252/3	Preferred	Malignant tenosynovial giant cell tumor	(C49._)	NA	NA	NA	NA	NA	NA
9252/3	Synonym	Giant cell tumor of tendon sheath, malignant	(C49._)	NA	NA	NA	NA	NA	NA
926	2	Miscellaneous bone tumors	NA	NA	NA	NA	NA	NA	NA
9260/0	Preferred	Aneurysmal bone cyst	NA	NA	NA	NA	NA	NA	NA
9261/3	Preferred	Adamantinoma of long bones	(C40._)	NA	NA	NA	NA	NA	NA
9262/0	Preferred	Ossifying fibroma	NA	NA	NA	NA	NA	NA	NA
9262/0	Synonym	Fibro-osteoma	NA	NA	NA	NA	NA	NA	NA
9262/0	Synonym	Osteofibroma	NA	NA	NA	NA	NA	NA	NA
927-934	2	Odontogenic tumors	NA	NA	NA	NA	NA	NA	NA
9270/0	Preferred	Odontogenic tumor, benign	NA	NA	NA	NA	NA	NA	NA
9270/1	Preferred	Odontogenic tumor, NOS	NA	NA	NA	NA	NA	NA	NA
9270/3	Preferred	Odontogenic tumor, malignant	NA	NA	NA	NA	NA	NA	NA
9270/3	Synonym	Ameloblastic carcinoma	NA	NA	NA	NA	NA	NA	NA
9270/3	Synonym	Odontogenic carcinoma	NA	NA	NA	NA	NA	NA	NA
9270/3	Synonym	Odontogenic sarcoma	NA	NA	NA	NA	NA	NA	NA
9270/3	Synonym	Primary intraosseous carcinoma	NA	NA	NA	NA	NA	NA	NA
9271/0	Preferred	Ameloblastic fibrodentinoma	NA	NA	NA	NA	NA	NA	NA
9271/0	Synonym	Dentinoma	NA	NA	NA	NA	NA	NA	NA
9272/0	Preferred	Cementoma, NOS	NA	NA	NA	NA	NA	NA	NA
9272/0	Synonym	Periapical cemental dysplasia	NA	NA	NA	NA	NA	NA	NA
9272/0	Synonym	Periapical cemento-osseous dysplasia	NA	NA	NA	NA	NA	NA	NA
9273/0	Preferred	Cementoblastoma, benign	NA	NA	NA	NA	NA	NA	NA
9274/0	Preferred	Cemento-ossifying fibroma	NA	NA	NA	NA	NA	NA	NA
9274/0	Related	Cementifying fibroma	NA	NA	NA	NA	NA	NA	NA
9275/0	Preferred	Gigantiform cementoma	NA	NA	NA	NA	NA	NA	NA
9275/0	Synonym	Florid osseous dysplasia	NA	NA	NA	NA	NA	NA	NA
9280/0	Preferred	Odontoma, NOS	NA	NA	NA	NA	NA	NA	NA
9281/0	Preferred	Compound odontoma	NA	NA	NA	NA	NA	NA	NA
9282/0	Preferred	Complex odontoma	NA	NA	NA	NA	NA	NA	NA
9290/0	Preferred	Ameloblastic fibro-odontoma	NA	NA	NA	NA	NA	NA	NA
9290/0	Synonym	Fibroameloblastic odontoma	NA	NA	NA	NA	NA	NA	NA
9290/3	Preferred	Ameloblastic odontosarcoma	NA	NA	NA	NA	NA	NA	NA
9290/3	Synonym	Ameloblastic fibro-odontosarcoma	NA	NA	NA	NA	NA	NA	NA
9290/3	Synonym	Ameloblastic fibrodentinosarcoma	NA	NA	NA	NA	NA	NA	NA
9300/0	Preferred	Adenomatoid odontogenic tumor	NA	NA	NA	NA	NA	NA	NA
9300/0	Synonym	Adenoameloblastoma	NA	NA	NA	NA	NA	NA	NA
9301/0	Preferred	Calcifying odontogenic cyst	NA	NA	NA	NA	NA	NA	NA
9302/0	Preferred	Dentinogenic ghost cell tumor	NA	NA	NA	NA	NA	NA	NA
9302/0	Synonym	Odontogenic ghost cell tumor	NA	NA	NA	NA	NA	NA	NA
9302/3	Preferred	Ghost cell odontogenic carcinoma	NA	NA	NA	NA	NA	NA	NA
9310/0	Preferred	Ameloblastoma, NOS	NA	NA	NA	NA	NA	NA	NA
9310/0	Synonym	Adamantinoma, NOS	NA	NA	NA	NA	NA	(except of long bones M-9261/3)	NA
9310/3	Preferred	Ameloblastoma, metastasizing	NA	NA	NA	NA	NA	NA	NA
9310/3	Synonym	Ameloblastoma, malignant	NA	NA	NA	NA	NA	NA	NA
9310/3	Synonym	Adamantinoma, malignant	NA	NA	NA	NA	NA	(except of long bones M-9261/3)	NA
9311/0	Preferred	Odontoameloblastoma	NA	NA	NA	NA	NA	NA	NA
9312/0	Preferred	Squamous odontogenic tumor	NA	NA	NA	NA	NA	NA	NA
9320/0	Preferred	Odontogenic myxoma	NA	NA	NA	NA	NA	NA	NA
9320/0	Synonym	Odontogenic myxofibroma	NA	NA	NA	NA	NA	NA	NA
9321/0	Preferred	Odontogenic fibroma, NOS	NA	NA	NA	NA	NA	NA	NA
9321/0	Synonym	Central odontogenic fibroma	NA	NA	NA	NA	NA	NA	NA
9322/0	Preferred	Peripheral odontogenic fibroma	NA	NA	NA	NA	NA	NA	NA
9330/0	Preferred	Ameloblastic fibroma	NA	NA	NA	NA	NA	NA	NA
9330/3	Preferred	Ameloblastic fibrosarcoma	NA	NA	NA	NA	NA	NA	NA
9330/3	Synonym	Ameloblastic sarcoma	NA	NA	NA	NA	NA	NA	NA
9330/3	Synonym	Odontogenic fibrosarcoma	NA	NA	NA	NA	NA	NA	NA
9340/0	Preferred	Calcifying epithelial odontogenic tumor	NA	NA	NA	NA	NA	NA	NA
9340/0	Synonym	Pindborg tumor	NA	NA	NA	NA	NA	NA	NA
9341/3	Preferred	Clear cell odontogenic carcinoma	NA	NA	NA	NA	NA	NA	NA
9341/3	Synonym	Clear cell odontogenic tumor	NA	NA	NA	NA	NA	NA	NA
9342/3	Preferred	Odontogenic carcinosarcoma	NA	NA	NA	NA	NA	NA	NA
935-937	2	Miscellaneous tumors	NA	NA	NA	NA	NA	NA	NA
9350/1	Preferred	Craniopharyngioma, NOS	(C75.2)	NA	NA	NA	NA	NA	NA
9350/1	Synonym	Rathke pouch tumor	(C75.1)	NA	NA	NA	NA	NA	NA
9351/1	Preferred	Craniopharyngioma, adamantinomatous	(C75.2)	NA	NA	NA	NA	NA	NA
9352/1	Preferred	Craniopharyngioma, papillary	(C75.2)	NA	NA	NA	NA	NA	NA
9360/1	Preferred	Pinealoma	(C75.3)	[obs]	NA	NA	NA	NA	NA
9361/1	Preferred	Pineocytoma	(C75.3)	NA	NA	NA	NA	NA	NA
9362/3	Preferred	Pineoblastoma	(C75.3)	NA	NA	NA	NA	NA	NA
9362/3	Related	Mixed pineal tumor	(C75.3)	NA	NA	NA	NA	NA	NA
9362/3	Synonym	Mixed pineocytoma-pineoblastoma	(C75.3)	NA	NA	NA	NA	NA	NA
9362/3	Related	Pineal parenchymal tumor of intermediate differentiation	(C75.3)	NA	NA	NA	NA	NA	NA
9362/3	Related	Transitional pineal tumor	(C75.3)	NA	NA	NA	NA	NA	NA
9363/0	Preferred	Melanotic neuroectodermal tumor	NA	NA	NA	NA	NA	NA	NA
9363/0	Synonym	Melanoameloblastoma	NA	NA	NA	NA	NA	NA	NA
9363/0	Synonym	Melanotic progonoma	NA	NA	NA	NA	NA	NA	NA
9363/0	Synonym	Retinal anlage tumor	NA	NA	NA	NA	NA	NA	NA
9364/3	Preferred	Ewing sarcoma	NA	NA	NA	NA	NA	NA	NA
9364/3	Synonym	Ewing tumor	NA	NA	NA	NA	NA	NA	NA
9364/3	Synonym	Peripheral neuroectodermal tumor	NA	NA	NA	NA	NA	NA	NA
9364/3	Related	Neuroectodermal tumor, NOS	NA	NA	NA	NA	NA	NA	NA
9364/3	Related	Peripheral primitive neuroectodermal tumor	NA	NA	NA	NA	NA	NA	NA
9364/3	Synonym	PPNET	NA	NA	NA	NA	NA	NA	NA
9365/3	Preferred	Askin tumor	NA	NA	NA	NA	NA	NA	NA
9370/0	Preferred	Benign notochordal cell tumor	NA	NA	NA	NA	NA	NA	NA
9370/3	Preferred	Chordoma, NOS	NA	NA	NA	NA	NA	NA	NA
9371/3	Preferred	Chondroid chordoma	NA	NA	NA	NA	NA	NA	NA
9372/3	Preferred	Dedifferentiated chordoma	NA	NA	NA	NA	NA	NA	NA
9373/0	Preferred	Parachordoma	NA	NA	NA	NA	NA	NA	NA
938-948	2	Gliomas	NA	NA	NA	NA	NA	NA	NA
9380/3	Preferred	Glioma, malignant	(C71._)	NA	NA	NA	NA	NA	NA
9380/3	Synonym	Glioma, NOS	(C71._)	NA	NA	NA	NA	(except nasal glioma: not neoplastic)	NA
9381/3	Preferred	Gliomatosis cerebri	(C71._)	NA	NA	NA	NA	NA	NA
9382/3	Preferred	Oligoastrocytoma, NOS	(C71._)	NA	NA	NA	NA	NA	NA
9382/3	Synonym	Mixed glioma	(C71._)	NA	NA	NA	NA	NA	NA
9382/3	Synonym	Anaplastic oligoastrocytoma	(C71._)	NA	NA	NA	NA	NA	NA
9383/1	Preferred	Subependymoma	(C71._)	NA	NA	NA	NA	NA	NA
9383/1	Synonym	Subependymal astrocytoma, NOS	(C71._)	NA	NA	NA	NA	NA	NA
9383/1	Synonym	Subependymal glioma	(C71._)	NA	NA	NA	NA	NA	NA
9383/1	Related	Mixed subependymoma-ependymoma	(C71._)	NA	NA	NA	NA	NA	NA
9384/1	Preferred	Subependymal giant cell astrocytoma	(C71._)	NA	NA	NA	NA	NA	NA
9385/3	Preferred	Diffuse midline glioma, H3 K27M-mutant	(C71._)	NA	NA	NA	NA	NA	NA
9385/3	Related	Diffuse intrinsic pontine glioma, H3 K27M-mutant	(C71.7)	NA	NA	NA	NA	NA	NA
9390/0	Preferred	Choroid plexus papilloma, NOS	(C71.5)	NA	NA	NA	NA	NA	NA
9390/1	Preferred	Atypical choroid plexus papilloma	(C71.5)	NA	NA	NA	NA	NA	NA
9390/3	Preferred	Choroid plexus carcinoma	(C71.5)	NA	NA	NA	NA	NA	NA
9390/3	Synonym	Choroid plexus papilloma, anaplastic	(C71.5)	NA	NA	NA	NA	NA	NA
9390/3	Synonym	Choroid plexus papilloma, malignant	(C71.5)	NA	NA	NA	NA	NA	NA
9391/1	Preferred	Sellar ependymoma	(C75.1)	NA	NA	NA	NA	NA	NA
9391/3	Preferred	Ependymoma, NOS	(C71._)	NA	NA	NA	NA	NA	NA
9391/3	Synonym	Epithelial ependymoma	(C71._)	NA	NA	NA	NA	NA	NA
9391/3	Related	Cellular ependymoma	(C71._)	NA	NA	NA	NA	NA	NA
9391/3	Related	Clear cell ependymoma	(C71._)	NA	NA	NA	NA	NA	NA
9391/3	Related	Tanycytic ependymoma	(C71._)	NA	NA	NA	NA	NA	NA
9392/3	Preferred	Ependymoma, anaplastic	(C71._)	NA	NA	NA	NA	NA	NA
9392/3	Synonym	Ependymoblastoma	(C71._)	NA	NA	NA	NA	NA	NA
9393/3	Preferred	Papillary ependymoma	(C71._)	NA	NA	NA	NA	NA	NA
9394/1	Preferred	Myxopapillary ependymoma	(C72.0)	NA	NA	NA	NA	NA	NA
9395/3	Preferred	Papillary tumor of pineal region	NA	NA	NA	NA	NA	NA	NA
9396/3	Preferred	Ependymoma, RELA fusion positive	(C71._)	NA	NA	NA	NA	NA	NA
9400/3	Preferred	Astrocytoma, NOS	(C71._)	NA	NA	NA	NA	NA	NA
9400/3	Synonym	Astrocytic glioma	(C71._)	NA	NA	NA	NA	NA	NA
9400/3	Synonym	Astroglioma	(C71._)	[obs]	NA	NA	NA	NA	NA
9400/3	Related	Astrocytoma, low grade	(C71._)	NA	NA	NA	NA	NA	NA
9400/3	Related	Cystic astrocytoma	(C71._)	[obs]	NA	NA	NA	NA	NA
9400/3	Related	Diffuse astrocytoma, NOS	(C71._)	NA	NA	NA	NA	NA	NA
9400/3	Related	Diffuse astrocytoma, low grade	(C71._)	NA	NA	NA	NA	NA	NA
9400/3	Related	Diffuse astrocytoma, IDH-mutant	(C71._)	NA	NA	NA	NA	NA	NA
